Name,Ticker,Sector
3i,III,Financial Services
Abrdn,ABDN,Financial Services
Admiral Group,ADM,Non-life Insurance
Airtel Africa,AAF,Telecommunications
Anglo American plc,AAL,Mining
Antofagasta plc,ANTO,Mining
Ashtead Group,AHT,Support Services
Associated British Foods,ABF,Food Producers
AstraZeneca,AZN,Pharmaceuticals & Biotechnology
Auto Trader Group,AUTO,Media
Aviva,AV,Life Insurance
B&M,BME,Retailers
BAE Systems,BA,Aerospace & Defence
Barclays,BARC,Banks
Barratt Developments,BDEV,Household Goods & Home Construction
Beazley Group,BEZ,Insurance
Berkeley Group Holdings,BKG,Household Goods & Home Construction
BP,BP,Oil & Gas Producers
British American Tobacco,BATS,Tobacco
BT Group,BT-A,Fixed Line Telecommunications
Bunzl,BNZL,Support Services
Burberry,BRBY,Personal Goods
Centrica,CNA,Utilities
Coca-Cola HBC,CCH,Beverages
Compass Group,CPG,Support Services
Convatec,CTEC,Health Care
CRH plc,CRH,Construction & Materials
Croda International,CRDA,Chemicals
DCC plc,DCC,Support Services
Diageo,DGE,Beverages
Endeavour Mining,EDV,Mining
Entain,ENT,Travel & Leisure
Experian,EXPN,Support Services
Foreign & Colonial Investment Trust,FCIT,Financial Services
Flutter Entertainment,FLTR,Travel & Leisure
Frasers Group,FRAS,Retail
Fresnillo plc,FRES,Mining
Glencore,GLEN,Mining
GSK plc,GSK,Pharmaceuticals & Biotechnology
Haleon,HLN,Pharmaceuticals & Biotechnology
Halma plc,HLMA,Electronic & Electrical Equipment
Hargreaves Lansdown,HL,Financial Services
Hiscox,HSX,Insurance
HSBC,HSBA,Banks
IHG Hotels & Resorts,IHG,Travel & Leisure
IMI,IMI,Engineering
Imperial Brands,IMB,Tobacco
Informa,INF,Media
International Airlines Group,IAG,Travel & Leisure
Intertek,ITRK,Support Services
JD Sports,JD,General Retailers
Johnson Matthey,JMAT,Chemicals
Kingfisher plc,KGF,Retailers
Land Securities,LAND,Real Estate Investment Trusts
Legal & General,LGEN,Life Insurance
Lloyds Banking Group,LLOY,Banks
London Stock Exchange Group,LSEG,Financial Services
M&G,MNG,Asset Managers
Melrose Industries,MRO,Automobiles & Parts
Mondi,MNDI,Forestry & Paper
National Grid plc,NG,"Gas, Water & Multi-utilities"
NatWest Group,NWG,Banks
Next plc,NXT,General Retailers
Ocado Group,OCDO,Food & Drug Retailers
Pearson plc,PSON,Media
Pershing Square Holdings,PSH,Financial Services
Persimmon plc,PSN,Household Goods & Home Construction
Phoenix Group,PHNX,Life Insurance
Prudential plc,PRU,Life Insurance
Reckitt,RKT,Household Goods & Home Construction
RELX,REL,Media
Rentokil Initial,RTO,Support Services
Rightmove,RMV,Media
Rio Tinto,RIO,Mining
Rolls-Royce Holdings,RR,Aerospace & Defence
RS Group plc,RS1,Industrials
Sage Group,SGE,Software & Computer Services
Sainsbury's,SBRY,Food & Drug Retailers
Schroders,SDR,Financial Services
Scottish Mortgage Investment Trust,SMT,Equity Investment Instruments
Segro,SGRO,Real Estate Investment Trusts
Severn Trent,SVT,"Gas, Water & Multi-utilities"
Shell plc,SHEL,Oil & Gas Producers
DS Smith,SMDS,General Industrials
Smiths Group,SMIN,General Industrials
Smith & Nephew,SN,Health Care Equipment & Services
Smurfit Kappa,SKG,General Industrials
Spirax-Sarco Engineering,SPX,Industrial Engineering
SSE plc,SSE,Electricity
Standard Chartered,STAN,Banks
St. James's Place plc,STJ,Financial Services
Taylor Wimpey,TW,Household Goods & Home Construction
Tesco,TSCO,Food & Drug Retailers
Unilever,ULVR,Personal Goods
United Utilities,UU,"Gas, Water & Multi-utilities"
Unite Group,UTG,Real Estate
Vodafone Group,VOD,Mobile Telecommunications
Weir Group,WEIR,Industrial Goods and Services
Whitbread,WTB,Retail hospitality
WPP plc,WPP,Media
