,Ticker,Stock Price,Market Capitalisation,Number of Shares to Buy
165,ECL,167.79,47773331456,N/A
166,EIX,66.54,25483689984,N/A
167,EW,84.295,51101143040,N/A
168,EA,128.0,34907136000,N/A
169,ELV,457.38,108424675328,N/A
170,LLY,430.855,408999034880,N/A
171,EMR,78.01,44582719488,N/A
172,ENPH,174.3,23886770176,N/A
173,ETR,96.725,20452210688,N/A
174,EOG,107.295,62752444416,N/A
175,EPAM,253.26,14665146368,N/A
176,EQT,35.02,12664738816,N/A
177,EFX,208.49,25570048000,N/A
178,EQIX,751.28,70262185984,N/A
179,EQR,60.92,23082891264,N/A
180,ESS,216.58,14390116352,N/A
181,EL,182.98,65399427072,N/A
182,ETSY,81.08,10001380352,N/A
183,RE,338.62,14701254656,N/A
184,EVRG,57.18,13133159424,N/A
185,ES,68.47,23885211648,N/A
186,EXC,39.44,39225802752,N/A
187,EXPE,97.07,14378492928,N/A
188,EXPD,110.72,16917130240,N/A
189,EXR,142.32,20247013376,N/A
190,XOM,102.3399,413758160896,N/A
191,FFIV,147.12,8896052224,N/A
192,FDS,386.42,14807421952,N/A
193,FICO,793.43,19830276096,N/A
194,FAST,53.23,30396565504,N/A
195,FRT,87.5,7188335104,N/A
196,FDX,215.54,54176407552,N/A
197,FITB,24.58,16732000256,N/A
198,FSLR,204.69,21866213376,N/A
199,FE,36.94,21160597504,N/A
200,FIS,54.9425,32549969920,N/A
201,FISV,112.23,69280702464,N/A
202,FLT,227.64,16807617536,N/A
203,FMC,103.96,13009762304,N/A
204,F,11.985,47949225984,N/A
205,FTNT,67.86,53283401728,N/A
206,FTV,64.945,22961305600,N/A
207,FOXA,31.225,15288134656,N/A
208,FOX,29.24,15291584512,N/A
209,BEN,24.185,12113371136,N/A
210,FCX,35.28,50566467584,N/A
211,GRMN,103.05,19712434176,N/A
212,IT,337.14,26654492672,N/A
213,GEHC,79.59,36187738112,N/A
214,GEN,17.525,11229511680,N/A
215,GNRC,109.25,6794617856,N/A
216,GD,204.5395,56112549888,N/A
217,GE,103.31,112636821504,N/A
218,GIS,84.46,49607917568,N/A
219,GM,32.57,45276205056,N/A
220,GPC,148.5,20866625536,N/A
221,GILD,76.635,95590670336,N/A
222,GL,103.715,9910465536,N/A
223,GPN,98.57,25820706816,N/A
224,GS,316.88,105346121728,N/A
225,HAL,29.3,26434312192,N/A
226,HIG,68.755,21414223872,N/A
227,HAS,59.56,8255552000,N/A
228,HCA,264.86,72860065792,N/A
229,PEAK,20.0,10939919360,N/A
230,HSIC,73.53,9632650240,N/A
231,HSY,259.72,53086511104,N/A
232,HES,127.545,39162945536,N/A
233,HPE,14.545,18848428032,N/A
234,HLT,136.79,36198326272,N/A
235,HOLX,78.69,19401334784,N/A
236,HD,284.73,286261837824,N/A
237,HON,191.525,127493783552,N/A
238,HRL,40.84,22320406528,N/A
239,HST,16.685,11867056128,N/A
240,HWM,43.6,18019487744,N/A
241,HPQ,29.005,28579438592,N/A
242,HUM,511.13,63863140352,N/A
243,HBAN,10.48,15129031680,N/A
244,HII,201.505,8038175744,N/A
245,IBM,128.665,116833599488,N/A
246,IEX,198.075,14969795584,N/A
247,IDXX,469.395,38962081792,N/A
248,ITW,218.98,66548678656,N/A
249,ILMN,198.32,31354392576,N/A
250,INCY,61.72,13768991744,N/A
251,IR,57.34,23195176960,N/A
252,PODD,271.29,18907774976,N/A
253,INTC,31.25,130343755776,N/A
254,ICE,105.875,59275919360,N/A
255,IFF,77.295,19717259264,N/A
256,IP,29.16,10120181760,N/A
257,IPG,37.6,14514839552,N/A
258,INTU,421.54,118056493056,N/A
259,ISRG,308.05,107940102144,N/A
260,IVZ,14.67,6721339392,N/A
261,INVH,33.545,20611958784,N/A
262,IQV,198.395,36811993088,N/A
263,IRM,52.98,15450186752,N/A
264,JBHT,168.19,17432557568,N/A
265,JKHY,151.255,11022752768,N/A
266,J,110.43,14008045568,N/A
267,JNJ,154.18,400672161792,N/A
268,JCI,59.57,40870916096,N/A
269,JPM,136.42,398658797568,N/A
270,JNPR,30.46,9795691520,N/A
271,K,66.37,22748850176,N/A
272,KDP,31.13,43699671040,N/A
273,KEY,9.495,8880331776,N/A
274,KEYS,161.56,28725366784,N/A
275,KMB,133.765,45129768960,N/A
276,KIM,18.225,11297530880,N/A
277,KMI,16.175,36361719808,N/A
278,KLAC,439.645,60318855168,N/A
279,KHC,38.3,47003287552,N/A
280,KR,44.805,32154218496,N/A
281,LHX,177.19,33569175552,N/A
282,LH,213.935,18954641408,N/A
283,LRCX,607.725,81641775104,N/A
284,LW,112.165,16342889472,N/A
285,LVS,55.0518,42074492928,N/A
286,LDOS,78.36,10750442496,N/A
287,LEN,107.45,30646888448,N/A
288,LNC,21.12,3581086464,N/A
289,LIN,354.24,173434830848,N/A
290,LYV,80.33,18467145728,N/A
291,LKQ,52.48,14027378688,N/A
292,LMT,446.915,113182564352,N/A
293,L,56.28,12826098688,N/A
294,LOW,200.46,118672326656,N/A
295,LYB,86.23,28048375808,N/A
296,MTB,119.93,19892789248,N/A
297,MRO,22.375,13818889216,N/A
298,MPC,106.22,45674602496,N/A
299,MKTX,275.46,10376412160,N/A
300,MAR,169.15,51312324608,N/A
301,MMC,172.93,85552095232,N/A
302,MLM,400.54,24820983808,N/A
303,MAS,48.52,10921318400,N/A
304,MA,367.43,348187328512,N/A
305,MTCH,36.56,10180534272,N/A
306,MKC,87.09,23377479680,N/A
307,MCD,285.56,208485646336,N/A
308,MCK,390.46,52947156992,N/A
309,MDT,82.88,110297530368,N/A
310,MRK,110.78,281097601024,N/A
311,META,270.2705,692630323200,N/A
312,MET,50.185,38432727040,N/A
313,MTD,1327.5,29231814656,N/A
314,MGM,39.115,14229998592,N/A
315,MCHP,74.645,40710184960,N/A
316,MU,68.51,74976665600,N/A
317,MSFT,327.43,2434602369024,N/A
318,MAA,146.56,17561550848,N/A
319,MRNA,127.49,48600334336,N/A
320,MHK,91.95,5855339008,N/A
321,MOH,280.59,16358396928,N/A
322,TAP,61.73,13351334912,N/A
323,MDLZ,73.17,99646562304,N/A
324,MPWR,490.38,23255291904,N/A
325,MNST,58.77,61515149312,N/A
326,MCO,320.38,58789732352,N/A
327,MS,81.72,136481390592,N/A
328,MOS,31.885,10589295616,N/A
329,MSI,280.5336,47050252288,N/A
330,MSCI,462.25,37009305600,N/A
331,NDAQ,55.32,27149230080,N/A
332,NTAP,71.45,15283511296,N/A
333,NFLX,400.07,177847517184,N/A
334,NWL,8.18,3387338240,N/A
335,NEM,41.49,32973391872,N/A
336,NWSA,18.5899,10675007488,N/A
337,NWS,18.76,10692974592,N/A
338,NEE,72.53,146758647808,N/A
339,NKE,104.03,159893061632,N/A
340,NI,26.66,11012259840,N/A
341,NDSN,218.49,12451985408,N/A
342,NSC,210.51,47920496640,N/A
343,NTRS,72.14,15029791744,N/A
344,NOC,435.03,66063224832,N/A
345,NCLH,15.1133,6410532864,N/A
346,NRG,32.82,7556214272,N/A
347,NUE,132.525,33293328384,N/A
348,NVDA,388.825,960397836288,N/A
349,NVR,5550.44,18022000640,N/A
350,NXPI,177.84,46192697344,N/A
351,ORLY,898.29,54686904320,N/A
352,OXY,58.23,51926310912,N/A
353,ODFL,310.595,34057363456,N/A
354,OMC,88.99,17754841088,N/A
355,ON,85.11,36756709376,N/A
356,OKE,56.625,25336571904,N/A
357,ORCL,105.11,283775991808,N/A
358,OGN,19.42,4953304064,N/A
359,OTIS,79.52,32864899072,N/A
360,PCAR,68.81,35958661120,N/A
361,PKG,123.35,11093136384,N/A
362,PARA,15.45,10164894720,N/A
363,PH,320.665,41140039680,N/A
364,PAYX,106.52,38401417216,N/A
365,PAYC,279.355,16843039744,N/A
366,PYPL,62.695,69949431808,N/A
367,PNR,55.71,9189364736,N/A
368,PEP,180.92,249251676160,N/A
369,PFE,38.12,215199203328,N/A
370,PCG,16.6575,41202659328,N/A
371,PM,90.52,140505137152,N/A
372,PSX,93.155,42745290752,N/A
373,PNW,76.405,8653324288,N/A
374,PXD,199.2779,46578417664,N/A
375,PNC,117.05,46782779392,N/A
376,POOL,310.0775,12104898560,N/A
377,PPG,133.455,31417442304,N/A
378,PPL,26.075,19219050496,N/A
379,PFG,66.09,16044999680,N/A
380,PG,143.18,337470947328,N/A
381,PGR,126.79,74210181120,N/A
382,PLD,123.01,113595555840,N/A
383,PRU,79.41,28984651776,N/A
384,PEG,59.21,29543716864,N/A
385,PTC,134.215,15884747776,N/A
386,PSA,282.815,49860005888,N/A
387,PHM,66.4,14822074368,N/A
388,QRVO,96.13,9491510272,N/A
389,PWR,175.64,25498712064,N/A
390,QCOM,113.34,126260756480,N/A
391,DGX,132.865,14882076672,N/A
392,RL,104.7,6847872000,N/A
393,RJF,91.19,19324166144,N/A
394,RTX,93.28,136295137280,N/A
395,O,58.93,39672975360,N/A
396,REG,56.24,9658602496,N/A
397,REGN,737.085,80865599488,N/A
398,RF,17.215,16153023488,N/A
399,RSG,141.98,44905713664,N/A
400,RMD,214.14,31463806976,N/A
401,RVTY,115.62,14503488512,N/A
402,RHI,65.855,7096732672,N/A
403,ROK,276.65,31780167680,N/A
404,ROL,39.83,19627708416,N/A
405,ROP,450.0,47966400512,N/A
406,ROST,101.335,34661838848,N/A
407,RCL,81.85,20932071424,N/A
408,SPGI,369.075,118399262720,N/A
409,CRM,213.85,209364074496,N/A
410,SBAC,221.44,23990589440,N/A
411,SLB,44.155,62935445504,N/A
412,STX,60.91,12613364736,N/A
413,SEE,37.68,5440464384,N/A
414,SRE,143.685,45210914816,N/A
415,NOW,543.49,110730649600,N/A
416,SHW,230.08,59335331840,N/A
417,SPG,103.67,38802124800,N/A
418,SWKS,103.5,16472543232,N/A
419,SJM,146.23,15593381888,N/A
420,SNA,248.95,13177371648,N/A
421,SEDG,289.2,16294887424,N/A
422,SO,69.19,75444781056,N/A
423,LUV,29.28,17423738880,N/A
424,SWK,75.18,11513291776,N/A
425,SBUX,97.53,111808389120,N/A
426,STT,69.05,23080585216,N/A
427,STLD,91.4855,15464159232,N/A
428,STE,202.745,20000833536,N/A
429,SYK,276.26,104870510592,N/A
430,SYF,31.05,13307129856,N/A
431,SNPS,449.14,68341145600,N/A
432,SYY,70.65,35862224896,N/A
433,TMUS,138.4,166064783360,N/A
434,TROW,106.59,23937128448,N/A
435,TTWO,137.9,23351156736,N/A
436,TPR,39.535,9164134400,N/A
437,TRGP,68.29,15434838016,N/A
438,TGT,128.0,59079680000,N/A
439,TEL,121.94,38425124864,N/A
440,TDY,389.54,18326142976,N/A
441,TFX,233.7,10977286144,N/A
442,TER,100.115,15521729536,N/A
443,TSLA,202.285,641142292480,N/A
444,TXN,173.22,157223829504,N/A
445,TXT,62.454,12595722240,N/A
446,TMO,517.51,199614480384,N/A
447,TJX,76.6385,88076034048,N/A
448,TSCO,207.78,22766039040,N/A
449,TT,164.365,37483769856,N/A
450,TDG,778.02,42735316992,N/A
451,TRV,169.66,39187558400,N/A
452,TRMB,47.19,11691181056,N/A
453,TFC,31.285,41669115904,N/A
454,TYL,395.27,16571812864,N/A
455,TSN,50.785,18059704320,N/A
456,USB,30.195,46286520320,N/A
457,UDR,39.595,21766324224,N/A
458,ULTA,406.1,20224430080,N/A
459,UNP,193.1255,117747646464,N/A
460,UAL,47.97,15732672512,N/A
461,UPS,168.09,144370139136,N/A
462,URI,335.045,23028045824,N/A
463,UNH,491.02,457155313664,N/A
464,UHS,131.66,9240150016,N/A
465,VLO,106.42,38472638464,N/A
466,VTR,43.23,17294247936,N/A
467,VRSN,223.215,23235788800,N/A
468,VRSK,220.15,31875739648,N/A
469,VZ,35.685,150019391488,N/A
470,VRTX,322.46,83050217472,N/A
471,VFC,17.105,6648320000,N/A
472,VTRS,9.14,10959134720,N/A
473,VICI,30.94,31071186944,N/A
474,V,223.98,469103706112,N/A
475,VMC,196.425,26136115200,N/A
476,WAB,92.335,16608295936,N/A
477,WBA,30.4289,26253934592,N/A
478,WMT,146.15,394217684992,N/A
479,WBD,11.285,27491502080,N/A
480,WM,161.975,65894182912,N/A
481,WAT,252.265,14892110848,N/A
482,WEC,86.245,27204694016,N/A
483,WFC,40.045,150257631232,N/A
484,WELL,73.87,36715683840,N/A
485,WST,337.37,25047226368,N/A
486,WDC,38.83,12423153664,N/A
487,WRK,27.5,7043574784,N/A
488,WY,28.41,20804530176,N/A
489,WHR,128.25,7022700544,N/A
490,WMB,28.7721,35049885696,N/A
491,WTW,219.025,23307106304,N/A
492,GWW,644.0325,32309176320,N/A
493,WYNN,96.785,11013940224,N/A
494,XEL,64.34,35409899520,N/A
495,XYL,100.86,24145481728,N/A
496,YUM,129.525,36278267904,N/A
497,ZBRA,263.32,13542627328,N/A
498,ZBH,126.805,26603436032,N/A
499,ZION,27.7,4102397696,N/A
500,ZTS,165.02,76257722368,N/A
