,Ticker,Name,Date,CIK
205,FMC,FMC Corporation,2009-08-19,0000037785
206,F,Ford Motor Company,1957-03-04,0000037996
207,FTNT,Fortinet,2018-10-11,0001262039
208,FTV,Fortive,2016-07-01,0001659166
209,FOXA,Fox Corporation (Class A),2013-07-01,0001754301
210,FOX,Fox Corporation (Class B),2015-09-18,0001754301
211,BEN,Franklin Templeton,1998-04-30,0000038777
212,FCX,Freeport-McMoRan,1900-01-01,0000831259
213,GRMN,Garmin,2012-12-12,0001121788
214,IT,Gartner,2017-04-05,0000749251
215,GEHC,GE HealthCare,2023-01-04,0001932393
216,GEN,Gen Digital,2003-03-25,0000849399
217,GNRC,Generac,2021-03-22,0001474735
218,GD,General Dynamics,1957-03-04,0000040533
219,GE,General Electric,1957-03-04,0000040545
220,GIS,General Mills,1957-03-04,0000040704
221,GM,General Motors,2013-06-06,0001467858
222,GPC,Genuine Parts Company,1973-12-31,0000040987
223,GILD,Gilead Sciences,2004-07-01,0000882095
224,GL,Globe Life,1989-04-30,0000320335
225,GPN,Global Payments,2016-04-25,0001123360
226,GS,Goldman Sachs,2002-07-22,0000886982
227,HAL,Halliburton,1957-03-04,0000045012
228,HIG,Hartford (The),1957-03-04,0000874766
229,HAS,Hasbro,1984-09-30,0000046080
230,HCA,HCA Healthcare,2015-01-27,0000860730
231,PEAK,Healthpeak,2008-03-31,0000765880
232,HSIC,Henry Schein,2015-03-17,0001000228
233,HSY,Hershey's,1957-03-04,0000047111
234,HES,Hess Corporation,1984-05-31,0000004447
235,HPE,Hewlett Packard Enterprise,2015-11-02,0001645590
236,HLT,Hilton Worldwide,2017-06-19,0001585689
237,HOLX,Hologic,2016-03-30,0000859737
238,HD,Home Depot (The),1988-03-31,0000354950
239,HON,Honeywell,1957-03-04,0000773840
240,HRL,Hormel Foods,2009-03-04,0000048465
241,HST,Host Hotels & Resorts,2007-03-20,0001070750
242,HWM,Howmet Aerospace,1957-03-04,0000004281
243,HPQ,HP Inc.,1974-12-31,0000047217
244,HUM,Humana,1900-01-01,0000049071
245,HBAN,Huntington Bancshares,1997-08-28,0000049196
246,HII,Huntington Ingalls Industries,2018-01-03,0001501585
247,IBM,IBM,1957-03-04,0000051143
248,IEX,IDEX Corporation,2019-08-09,0000832101
249,IDXX,Idexx Laboratories,2017-01-05,0000874716
250,ITW,Illinois Tool Works,1986-02-28,0000049826
251,ILMN,Illumina,2015-11-19,0001110803
252,INCY,Incyte,2017-02-28,0000879169
253,IR,Ingersoll Rand,2020-03-03,0001699150
254,PODD,Insulet,2023-03-15,0001145197
255,INTC,Intel,1976-12-31,0000050863
256,ICE,Intercontinental Exchange,2007-09-26,0001571949
257,IFF,International Flavors & Fragrances,1976-03-31,0000051253
258,IP,International Paper,1957-03-04,0000051434
259,IPG,Interpublic Group of Companies (The),1992-10-01,0000051644
260,INTU,Intuit,2000-12-05,0000896878
261,ISRG,Intuitive Surgical,2008-06-02,0001035267
262,IVZ,Invesco,2008-08-21,0000914208
263,INVH,Invitation Homes,2022-09-19,0001687229
264,IQV,IQVIA,2017-08-29,0001478242
265,IRM,Iron Mountain,2009-01-06,0001020569
266,JBHT,J.B. Hunt,2015-07-01,0000728535
267,JKHY,Jack Henry & Associates,2018-11-13,0000779152
268,J,Jacobs Solutions,2007-10-26,0000052988
269,JNJ,Johnson & Johnson,1973-06-30,0000200406
270,JCI,Johnson Controls,2010-08-27,0000833444
271,JPM,JPMorgan Chase,1975-06-30,0000019617
272,JNPR,Juniper Networks,2006-06-02,0001043604
273,K,Kellogg's,1989-09-11,0000055067
274,KDP,Keurig Dr Pepper,2022-06-21,0001418135
275,KEY,KeyCorp,1994-03-01,0000091576
276,KEYS,Keysight,2018-11-06,0001601046
277,KMB,Kimberly-Clark,1957-03-04,0000055785
278,KIM,Kimco Realty,2006-04-04,0000879101
279,KMI,Kinder Morgan,2012-05-25,0001506307
280,KLAC,KLA Corporation,1997-09-30,0000319201
281,KHC,Kraft Heinz,2015-07-06,0001637459
282,KR,Kroger,1957-03-04,0000056873
283,LHX,L3Harris,2008-09-22,0000202058
284,LH,LabCorp,2004-11-01,0000920148
285,LRCX,Lam Research,2012-06-29,0000707549
286,LW,Lamb Weston,2018-12-03,0001679273
287,LVS,Las Vegas Sands,2019-10-03,0001300514
288,LDOS,Leidos,2019-08-09,0001336920
289,LEN,Lennar,2005-10-04,0000920760
290,LNC,Lincoln Financial,1976-06-30,0000059558
291,LIN,Linde plc,1992-07-01,0001707925
292,LYV,Live Nation Entertainment,2019-12-23,0001335258
293,LKQ,LKQ Corporation,2016-05-23,0001065696
294,LMT,Lockheed Martin,1957-03-04,0000936468
295,L,Loews Corporation,1995-05-31,0000060086
296,LOW,Lowe's,1984-02-29,0000060667
297,LYB,LyondellBasell,2012-09-05,0001489393
298,MTB,M&T Bank,2004-02-23,0000036270
299,MRO,Marathon Oil,1957-03-04,0000101778
300,MPC,Marathon Petroleum,2011-07-01,0001510295
301,MKTX,MarketAxess,2019-07-01,0001278021
302,MAR,Marriott International,1998-05-29,0001048286
303,MMC,Marsh McLennan,1987-08-31,0000062709
304,MLM,Martin Marietta Materials,2014-07-02,0000916076
305,MAS,Masco,1981-06-30,0000062996
306,MA,Mastercard,2008-07-18,0001141391
307,MTCH,Match Group,2021-09-20,0000891103
308,MKC,McCormick & Company,2003-03-20,0000063754
309,MCD,McDonald's,1970-06-30,0000063908
310,MCK,McKesson,1999-01-13,0000927653
311,MDT,Medtronic,1986-10-31,0001613103
312,MRK,Merck & Co.,1957-03-04,0000310158
313,META,Meta Platforms,2013-12-23,0001326801
314,MET,MetLife,2000-12-11,0001099219
315,MTD,Mettler Toledo,2016-09-06,0001037646
316,MGM,MGM Resorts,2017-07-26,0000789570
317,MCHP,Microchip Technology,2007-09-07,0000827054
318,MU,Micron Technology,1994-09-27,0000723125
319,MSFT,Microsoft,1994-06-01,0000789019
320,MAA,Mid-America Apartment Communities,2016-12-02,0000912595
321,MRNA,Moderna,2021-07-21,0001682852
322,MHK,Mohawk Industries,2013-12-23,0000851968
323,MOH,Molina Healthcare,2022-03-02,0001179929
324,TAP,Molson Coors Beverage Company,1976-06-30,0000024545
325,MDLZ,Mondelez International,2012-10-02,0001103982
326,MPWR,Monolithic Power Systems,2021-02-12,0001280452
327,MNST,Monster Beverage,2012-06-28,0000865752
328,MCO,Moody's Corporation,1998-07-01,0001059556
329,MS,Morgan Stanley,1993-07-29,0000895421
330,MOS,Mosaic Company (The),2011-09-26,0001285785
331,MSI,Motorola Solutions,1957-03-04,0000068505
332,MSCI,MSCI,2018-04-04,0001408198
333,NDAQ,"Nasdaq, Inc.",2008-10-22,0001120193
334,NTAP,NetApp,1999-06-25,0001002047
335,NFLX,Netflix,2010-12-20,0001065280
336,NWL,Newell Brands,1989-04-30,0000814453
337,NEM,Newmont,1969-06-30,0001164727
338,NWSA,News Corp (Class A),2013-08-01,0001564708
339,NWS,News Corp (Class B),2015-09-18,0001564708
340,NEE,NextEra Energy,1976-06-30,0000753308
341,NKE,"Nike, Inc.",1988-11-30,0000320187
342,NI,NiSource,2000-11-02,0001111711
343,NDSN,Nordson Corporation,2022-02-15,0000072331
344,NSC,Norfolk Southern Railway,1957-03-04,0000702165
345,NTRS,Northern Trust,1998-01-30,0000073124
346,NOC,Northrop Grumman,1957-03-04,0001133421
347,NCLH,Norwegian Cruise Line Holdings,2017-10-13,0001513761
348,NRG,NRG Energy,2010-01-29,0001013871
349,NUE,Nucor,1985-04-30,0000073309
350,NVDA,Nvidia,2001-11-30,0001045810
351,NVR,"NVR, Inc.",2019-09-26,0000906163
352,NXPI,NXP Semiconductors,2021-03-22,0001413447
353,ORLY,O'Reilly Auto Parts,2009-03-27,0000898173
354,OXY,Occidental Petroleum,1957-03-04,0000797468
355,ODFL,Old Dominion,2019-12-09,0000878927
356,OMC,Omnicom Group,1997-12-31,0000029989
357,ON,ON Semiconductor,2022-06-21,0001097864
358,OKE,ONEOK,2010-03-15,0001039684
359,ORCL,Oracle Corporation,1989-08-31,0001341439
360,OGN,Organon & Co.,2021-06-03,0001821825
361,OTIS,Otis Worldwide,2020-04-03,0001781335
362,PCAR,Paccar,1980-12-31,0000075362
363,PKG,Packaging Corporation of America,2017-07-26,0000075677
364,PARA,Paramount Global,1994-09-30,0000813828
365,PH,Parker Hannifin,1985-11-30,0000076334
366,PAYX,Paychex,1998-10-01,0000723531
367,PAYC,Paycom,2020-01-28,0001590955
368,PYPL,PayPal,2015-07-20,0001633917
369,PNR,Pentair,2012-10-01,0000077360
370,PEP,PepsiCo,1957-03-04,0000077476
371,PFE,Pfizer,1957-03-04,0000078003
372,PCG,PG&E Corporation,2022-10-03,0001004980
373,PM,Philip Morris International,2008-03-31,0001413329
374,PSX,Phillips 66,2012-05-01,0001534701
375,PNW,Pinnacle West,1999-10-04,0000764622
376,PXD,Pioneer Natural Resources,2008-09-24,0001038357
377,PNC,PNC Financial Services,1988-04-30,0000713676
378,POOL,Pool Corporation,2020-10-07,0000945841
379,PPG,PPG Industries,1957-03-04,0000079879
380,PPL,PPL Corporation,2001-10-01,0000922224
381,PFG,Principal Financial Group,2002-07-22,0001126328
382,PG,Procter & Gamble,1957-03-04,0000080424
383,PGR,Progressive Corporation,1997-08-04,0000080661
384,PLD,Prologis,2003-07-17,0001045609
385,PRU,Prudential Financial,2002-07-22,0001137774
386,PEG,Public Service Enterprise Group,1957-03-04,0000788784
387,PTC,PTC,2021-04-20,0000857005
388,PSA,Public Storage,2005-08-19,0001393311
389,PHM,PulteGroup,1984-04-30,0000822416
390,QRVO,Qorvo,2015-06-11,0001604778
391,PWR,Quanta Services,2009-07-01,0001050915
392,QCOM,Qualcomm,1999-07-22,0000804328
393,DGX,Quest Diagnostics,2002-12-12,0001022079
394,RL,Ralph Lauren Corporation,2007-02-02,0001037038
395,RJF,Raymond James,2017-03-20,0000720005
396,RTX,Raytheon Technologies,1957-03-04,0000101829
397,O,Realty Income,2015-04-07,0000726728
398,REG,Regency Centers,2017-03-02,0000910606
399,REGN,Regeneron,2013-05-01,0000872589
400,RF,Regions Financial Corporation,1998-08-28,0001281761
401,RSG,Republic Services,2008-12-05,0001060391
402,RMD,ResMed,2017-07-26,0000943819
403,RVTY,Revvity,1985-05-31,0000031791
404,RHI,Robert Half,2000-12-05,0000315213
405,ROK,Rockwell Automation,1900-01-01,0001024478
406,ROL,"Rollins, Inc.",2018-10-01,0000084839
407,ROP,Roper Technologies,2009-12-23,0000882835
408,ROST,Ross Stores,2009-12-21,0000745732
409,RCL,Royal Caribbean Group,2014-12-05,0000884887
410,SPGI,S&P Global,1957-03-04,0000064040
411,CRM,Salesforce,2008-09-15,0001108524
412,SBAC,SBA Communications,2017-09-01,0001034054
413,SLB,Schlumberger,1957-03-04,0000087347
414,STX,Seagate Technology,2012-07-02,0001137789
415,SEE,Sealed Air,1957-03-04,0001012100
416,SRE,Sempra Energy,1900-01-01,0001032208
417,NOW,ServiceNow,2019-11-21,0001373715
418,SHW,Sherwin-Williams,1964-06-30,0000089800
419,SPG,Simon Property Group,2002-06-26,0001063761
420,SWKS,Skyworks Solutions,2015-03-12,0000004127
421,SJM,J.M. Smucker Company (The),2008-11-06,0000091419
422,SNA,Snap-on,1982-09-30,0000091440
423,SEDG,SolarEdge,2021-12-20,0001419612
424,SO,Southern Company,1957-03-04,0000092122
425,LUV,Southwest Airlines,1994-07-01,0000092380
426,SWK,Stanley Black & Decker,1982-09-30,0000093556
427,SBUX,Starbucks,2000-06-07,0000829224
428,STT,State Street Corporation,2003-03-14,0000093751
429,STLD,Steel Dynamics,2022-12-22,0001022671
430,STE,Steris,2019-12-23,0001757898
431,SYK,Stryker Corporation,2000-12-12,0000310764
432,SYF,Synchrony Financial,2015-11-18,0001601712
433,SNPS,Synopsys,2017-03-16,0000883241
434,SYY,Sysco,1986-12-31,0000096021
435,TMUS,T-Mobile US,2019-07-15,0001283699
436,TROW,T. Rowe Price,1900-01-01,0001113169
437,TTWO,Take-Two Interactive,2018-03-19,0000946581
438,TPR,"Tapestry, Inc.",2004-09-01,0001116132
439,TRGP,Targa Resources,2022-10-12,0001389170
440,TGT,Target Corporation,1976-12-31,0000027419
441,TEL,TE Connectivity,2011-10-17,0001385157
442,TDY,Teledyne Technologies,2020-06-22,0001094285
443,TFX,Teleflex,2019-01-18,0000096943
444,TER,Teradyne,2020-09-21,0000097210
445,TSLA,"Tesla, Inc.",2020-12-21,0001318605
446,TXN,Texas Instruments,1900-01-01,0000097476
447,TXT,Textron,1978-12-31,0000217346
448,TMO,Thermo Fisher Scientific,2004-08-03,0000097745
449,TJX,TJX Companies,1985-09-30,0000109198
450,TSCO,Tractor Supply,2014-01-24,0000916365
451,TT,Trane Technologies,2010-11-17,0001466258
452,TDG,TransDigm Group,2016-06-03,0001260221
453,TRV,Travelers Companies (The),2002-08-21,0000086312
454,TRMB,Trimble Inc.,2021-01-21,0000864749
455,TFC,Truist,1997-12-04,0000092230
456,TYL,Tyler Technologies,2020-06-22,0000860731
457,TSN,Tyson Foods,2005-08-10,0000100493
458,USB,U.S. Bank,1900-01-01,0000036104
459,UDR,"UDR, Inc.",2016-03-07,0000074208
460,ULTA,Ulta Beauty,2016-04-18,0001403568
461,UNP,Union Pacific Corporation,1957-03-04,0000100885
462,UAL,United Airlines Holdings,2015-09-03,0000100517
463,UPS,United Parcel Service,2002-07-22,0001090727
464,URI,United Rentals,2014-09-20,0001067701
465,UNH,UnitedHealth Group,1994-07-01,0000731766
466,UHS,Universal Health Services,2014-09-20,0000352915
467,VLO,Valero Energy,2002-12-20,0001035002
468,VTR,Ventas,2009-03-04,0000740260
469,VRSN,Verisign,2006-02-01,0001014473
470,VRSK,Verisk,2015-10-08,0001442145
471,VZ,Verizon,1983-11-30,0000732712
472,VRTX,Vertex Pharmaceuticals,2013-09-23,0000875320
473,VFC,VF Corporation,1979-06-30,0000103379
474,VTRS,Viatris,2004-04-23,0001792044
475,VICI,Vici Properties,2022-06-08,0001705696
476,V,Visa Inc.,2009-12-21,0001403161
477,VMC,Vulcan Materials Company,1999-06-30,0001396009
478,WAB,Wabtec,2019-02-27,0000943452
479,WBA,Walgreens Boots Alliance,1979-12-31,0001618921
480,WMT,Walmart,1982-08-31,0000104169
481,WBD,Warner Bros. Discovery,2022-04-11,0001437107
482,WM,Waste Management,1900-01-01,0000823768
483,WAT,Waters Corporation,2002-01-02,0001000697
484,WEC,WEC Energy Group,2008-10-31,0000783325
485,WFC,Wells Fargo,1976-06-30,0000072971
486,WELL,Welltower,2009-01-30,0000766704
487,WST,West Pharmaceutical Services,2020-05-22,0000105770
488,WDC,Western Digital,2009-07-01,0000106040
489,WRK,WestRock,1957-03-04,0001732845
490,WY,Weyerhaeuser,1900-01-01,0000106535
491,WHR,Whirlpool Corporation,1900-01-01,0000106640
492,WMB,Williams Companies,1975-03-31,0000107263
493,WTW,Willis Towers Watson,2016-01-05,0001140536
494,GWW,W. W. Grainger,1981-06-30,0000277135
495,WYNN,Wynn Resorts,2008-11-14,0001174922
496,XEL,Xcel Energy,1957-03-04,0000072903
497,XYL,Xylem Inc.,2011-11-01,0001524472
498,YUM,Yum! Brands,1997-10-06,0001041061
499,ZBRA,Zebra Technologies,2019-12-23,0000877212
500,ZBH,Zimmer Biomet,2001-08-07,0001136869
501,ZION,Zions Bancorporation,2001-06-22,0000109380
502,ZTS,Zoetis,2013-06-21,0001555280
